,keluhan
6724,tgl 8 maret 2017 sekitar jam 8 25 anak christian sidharta alami celaka waktu berangkat kerja di jl tawangsari taman panjang hanya karena hindar ato memang uda masuk lobang yg dalam dalam foto sdh tutup daun2an yg buat anak alami gegar otak berat hingga sudah 2x operasi di bagi otak dan sekarang anak msh belum sadar tolong dong perintah bila ada lobang segera tambal krn sangat bahaya guna motor khusus jangan sampai ada korban2 lagi hanya krn lobang yg nganga di jalan cc sapawargasby sbytrafficserv
6725,
6726,sapawargasby saya habis tiket mash bisa masuk enggak ya
6727,
6728,sapawargasby info ppdb online sma smk surabaya bisa di lihat di mana ya thk
6729,
6730,assalamualaikum kepada yth ibu walikota surabaya mohon maaf belum kami ingin tanya dan tindaklanjut kait terima program bpnt wilayah kami nyata juga terima program pkh hal ini timbul senjang sosial padahal masih banyak warga lain yang kurang mampu tidak dapat mhn solusi agar program ini dapat jalan lancar dan tidak timbul masalah yg baru di masyarakat antara urus rt rw dan warga yg tidak terima program sebut atas perhati terima kasih wassalam
6731,tetangga sy yg betul ibu jadi art di rumah saya keluh anak sdh 2 mgg tidak mau sekolah lagi bahkan kendara mio minta dan sering pakai pergi tanpa jelas tuju ortunya bingung bgmn harus nasehat anak krn sang anak tdak takut siapa kata kalau nasehat marah2 bahkan pernah ancam akan pukul ayah nama anak djohar panggil jojo sekolah di smp giki 2 jalan raya gubeng surabaya nama ortu agus dini alamat rumah jalan pacarkeling i 67 surabaya kasi ortunya kerja keras ingin anak sukses sampai di bela2in masuk giki eh nyata malah protol tengah jalan kira ada solusi untuk anak putus sekolah spt ini tidak ya
6732,buat lima buah polisi tidur langgar atur uu uu no 22 2009 tentang lalu lintas dan angkut umum langgar tentu kepmen hubung no 3 1994 serta langgar perda kota surabaya no 2 tahun 2014 tentang selenggara tertib umum dan tenteram masyarakat polisi tidur buat dengan tinggi 25 cm dan dapat celaka guna jalan lokasi pelangaran sebut ada di rumah rungkut tanggal harap blok p
6733,selamat siang saya bayu orang tua wali murid kelas 9 di smpn 6 surabaya anak saya barusan ikut uji sekolah bas komputer di sekolah konsep uji sekolah bas komputer nyata tidak dukung dengan kesiap infrastruktur sistem jaring internet yang hubung ke diknas alami trouble pada saat uji hal ini tentu timbul panik siswa yang akan uji akibat jadi ini siswa lambat mulai uji pada saat sudah bisa in charge kerja juga tidak ada kompensasi waktu dari yang sudah tetap di sistem akibat siswa kerja kurang dari waktu yang harus nilai juga tidak langsung keluar memang jadi ini tidak alami semua siswa hanya beberapa siswa akan tetapi bukan masalah jumlah yang kena dampak tetapi jadi ini harus tidak boleh jadi karena sangkut sistem evaluasi didik demi masa depan generasi bangsa jangan sampai niat baik dari perintah kota surabaya untuk siap uji sekolah bas komputer yang yang esensi untuk efektifitas efisiensi dan fairplay malah bawa hasil yang kontraproduktif dengan ada jadi trouble jaring mohon pihak yang kait untuk kira bisa siap uji bas komputer dengan lebih profesional dengan tanpa salah untuk hal ini
6734,
6735,asslkm wr wb saya ketua rw 2 kel bulak banteng mohon tunjuk mana kami harus adu karena wilayah kami ada orang warga yg sangat perlu segera dapat bantu
6736,pju samping gor galing banjar sugih sblh selatan dpn rmh p yoyok padam sdh 2 minggu mhn sgera tangan mkci p yoyok banjar sugih rt 3 rw 4 tandes sby
6737,
6738,selamat siang saya pranowo dari ukm padu suara unair tahun ini kami akan ikut kompetisi international dan ada konser budaya di austria serta prekompetision konser disurabaya mau tanya bagaimana alur aju proposal mohon bantu sponsorship kepada pemkot surabaya trimakasih
6739,permisi saya ingin tanya kena dinas pariwisata saya sendiri selaku mahasiswa tingkat akhir yang sedang kerja skripsi dalam skripsi saya saya bahas jumlah datang wisatawan mancanegara yang lalu bandara juanda yang ingin saya tanya ke pihak dinas pariwisata adalah apakah dampak dalam naik jumlah wisman dan dampak turun jumlah wisman
6740,
6741,selamat sore saya laku buat akta lahir putri saya cara online lalu alamat http lampid surabaya go id lahir dengan tanggal aju 15 desember 2016 dan dapat nomor daftar 4656412016 semua data lengkap yang butuh telah saya upload pada tanggal itu juga namun hingga saat ini akta belum juga kirim ke alamat rumah dan telah saya cek status semua data yg saya upload dapat tanda silang merah apa arti mohon segera di klarifikasi terima kasih hormat saya bayu hafissanik 3507241709870001
6742,lapor pantau kembang pju di ketintang madya 5 depan rumah no 42 depan tk perwanida blm ada perobahan ada 1 titik lagi pju yg nyala tdk normal di ketintang madya 5 atas gapura pintu masuk durasi sekitar 2 hingga 3 menit
6743,
6744,saya kemarin panjang siup telah berkas saya lengkap dan saya upload nyata ada balas sms kalau baik edit data telah saya baik dan saya upload tadi pagi kok balas sms kalau perlu baik edit sata seteah saya edit dan baik tadi pagi kok di sms perlu revisi kira apa soal yg perlu saya baik nomor onlie 12357
6745,
6746,selamat siang mohon untuk lebih tindak lagi masalah urus e-ktp saya sangat rasa rugi dan terlalu belit apalagi posisi saya sekarang sedang hamil tua saya butuh ktp dan status yang jelas tentang duduk saya karena saya akan urus akta lahir anak saya nanti tapi sejak sekitar bulan oktober 2016 tahun lalu saya mau urus pindah wilayah dari surabaya ke sidoarjo tapi hambat karena status e-ktp saya yang kata duplicat record di retina mata saya saya tanya solusi bagaiman pihak dispenduk sby kata kalau harus daftar hapus duplicat record dan mereka kata itu makan waktu 3 bulan jadi saya suruh untuk datang lagi ke dispenduk sby sekitar awal tahun 2017 tapi waktu saya datang ke dispenduk sby mereka bilang kata sttus duplicat record ini tidak masalah kalau buat urus pindah wilayah tapi mereka tidak beri jawab masalah status duplikat record saya sebut sudah hapus atau tidak mereka hanya suruh saya langsung ke dispenduk sidoarjo tetapi waktu saya sampai di dispenduk sidoarjo pihak sidoarjo tidak mau terima berkas pindah wilayah saya karena sttus data nya masih duplikat pihak sidoarjo minta saya untuk selesai hal sebut di dispenduk sby saya langsung balik lagi ke dispenduk sby dan jawab pihak dispenduk sby sangat tidak masuk akal saya harus tunggu lagi untuk daftar hapus padahal mereka bilang sejak bulan oktober itu akan laku hapus tapi kenapa sekarang malah jawab baru akan daftar hapus lagi arti lama 3 bulan itu berkas saya tidak di apa-apain dan mereka dengan gampang suruh saya ke dispenduk sidoarjo lagi kata sudah bisa di proses tapi nyata tetap sama ketika saya datang ke dispenduk sidoarjo status saya masih tetap duplikat saya sangat kecewa sekali saya bolak balik ke dispenduk sby - dispenduk sidoarjo dan hasil ttp sama terus status saya bagaimana sebentar lagi saya harus lahir sementara ktp saja belum jelas nasib bagaimana dan yang buat saya bingung kenapa tiap saya hubung pihak dispenduk sby jawab selalu saja iya besok akan saya tanya dan itu langsung bulan tanpa ada jawab dan solusi saya selalu suruh cek retina mata dan cek sidik jari berulang2 sampai hasil cek sidik jari tumpuk rumah saya ini lagi hamil masih saja suruh bolak balik ke dispenduk mohon untuk segera tindak lanjut karena sudah sangat rugi saya dan mohon untuk di tertib lagi kalau pihak dispenduk bilang akan daftar ya tolong langsung daftar
6747,
6748,min mau tanya knp tdk ada sosialisasi ke warga kalo ubah kk dr tanggal buat akte ke buat kk ada batas waktu yaitu 30 hari kerja ini td saya mau masukin anak ke kk koq tiba2 suruh bayar denda kmrn aja saya bikin akte lahir situ tulis buat kk tgl 9 januari nyata nyampek di lurah tgl 20 januari arti nyampek nya telat jauh 11 hari saya dr lurah pacar kembang camat tambaksari dr rt n rw jg ndak ada sosialisasi knp olong kalo ada perda ato apa yg sangkut warga sosialisasi dgn baik
6749,
6750,saya mau lapor kait heboh masalah culi anak baik pihak pemkot surabaya segera koordinasi dengan bhabinkamtibmas polrestabes surabaya polres pel tanjung perak untuk menindaklanjutinya karena bisa buat heboh masyarakat surabaya pihak lurah kumpul semua ketua rt rw di wilayah sama bhabinkamtibmas babinsa untuk rapat koordinasi kait masalah yang lagi heboh culi anak suasana surabaya harus kondusif
6751,tolong sampai kepada dinas kait masalah jalan gaduk kalianak yang banyak lubang dan debu ini sangat prihatin bagi guna jalan apalagi masyarakat tempat yg tiap hari harus hirup udara debu sebut dan lagi banyak orang derita sesak nafas karena debu sebut apalagi warung di daerah sebut banyak yg tutup karena debu debu yg bangan apakah ini akan biar saja sampai banyak warga alami sakit nafas tolong tindak lanjut kepada dinas kait
6752,
6753,permisi saya ingin tanya kena dinas pariwisata saya sendiri selaku mahasiswa tingkat akhir yang sedang kerja skripsi dalam skripsi saya saya bahas jumlah datang wisatawan mancanegara yang lalu bandara juanda yang ingin saya tanya ke pihak dinas pariwisata adalah apakah dampak dalam naik jumlah wisman dan dampak turun jumlah wisman terima kasih
6754,
6755,untuk ubah data di ktp el apa saja yg perlu bawa
6756,
6757,hello my name is jos reyes im venezuelan and i love your country and city
6758,sapawargasby blanko e-ktp kapan sedia di surabaya
6759,
6760,sapawargasby terima kasih atas responnya
6761,sapawargasby sudah 3 hari telah tebang di raya simorejo masih belum bersih jadi sarang nyamuk dan serangga lain
6762,sapawargasby saya sudah hari menginput tdp untuk bagi akta diri tidak bs diinput loading trs bagaimana jalan keluar nomor 070703 11357 2017 terima kasih atas
6763,
6764,sapawargasby baik berat ada both yg kasih tiket ya krn info akhir saya tau harus ambil tiket masuk di disnaker kemarin selasa
6765,
6766,sapawargasby bisa langsung masuk atau pakai tiket dan bagai
6767,
6768,saya sudah pasti sambung internet dengan tepat saya guna wifi tetapi masih tidak bisa akses step ke 2 perijinan siup mohon bantu
6769,mohon pemkot dan dishub surabaya pasang rambu dan tulis di seluruh yg masuk area parkir zona surabaya agar tidak rancu dan potensi rugi warga hingga pagi ini saya belum lihat rambu tulis sebut di beberapa area parkir zona sesuai list yg direlease dishub yg saya lintas tiap hari terima kasih
6770,
6771,ktp saya kapan jadi sdh dari 2013
6772,
6773,pkl dan beli di empat kapasari dan ngaglik pas di tikung depan dealer mochin yang akan belok ke ngaglik gak bisa langsung satpol pp apa buta ya padahal di jl ngaglik banyak satpol pp duduk duduk jagain pkl
6774,
6775,terima kasih kalau untuk aju bimbing atau macam latih manfaat olah sampah itu mana
6776,siang untuk aju bantu tempat sampah itu ke dinas apa ya
6777,kalau tidak ada ubah data
6778,
6779,sapawargasby kapan selesai proyek trotoar di jalan dupak belum empat demak
6780,
6781,lapor jl baruk utara gang 1 lurah kedung baruk - rungkut lampu pju mati 1 mohon untuk dapat baik atas perhati nya kami ucap terima kasih e-wadul joss
6782,
6783,sapawargasby maaf apa itu e-lampid
6784,tadi sore lihat dikwsn praban dpn toko sepatu2 jukir narik parkir tanpa pake karcis gak pake rompi pasang muka super garang sekali
6785,
6786,sapawargasby mhn bantu utk tertib atur jln liar polisi cepek di jl raya arjuna dr pagi s d malam sangat ganggu trmksh
6787,sapawargasby e-wadul saya belum tanggap apakah masih fungsi aplikasi sebut
6788,
6789,sapawargasby apa tidak perlu minta surat antar rt rw lagi
6790,
6791,sapawargasby nanya utk buat akte lahir tdk otomatis dapat kk baru ya bukan klo lahir baru pasti kk jg akan ubah e100ss
6792,
6793,tarif parkir pasar pucang gin ya kok stempel sendiri e100ss pemkotsurabaya
6794,
6795,saya akan pindah ke jakarta karena kerja sana dan juga sudah milik rumah dijakarta saat ini sedang urus surat pindah dispenduk capil surabaya dan butuh waktu dua minggu kenapa bisa lama ini sedang istri saya yang rupa orang gresik urus surat pindah dispenduk capil gresik dgn dokumen yg sudah lengkap dapat tunggu hari itu juga jadi mohon jawab mengapa demikian
6796,
6797,e-ktp belum juga selesai
6798,
6799,apakah e-kios di camat benowo sedia trims
6800,mengapa online passport sekarang di websita sudah tidak bisa di akses sedang kalau sekarang kita antri langsung harus jam 3 pagi baru bisa dapat antri saya sudah antri jam 3 pagi tapi waktu di lihat kartu keluarga bagi tanda tangan upa print dan bukan bolpen orang tua saya tolak dan harus keluar dari antri bukan kah ini menyushakan warga dalam buat passport saya tunggu jawab
6801,kena info jalan lubang belum kampoeng roti wiyung tepat sebrang jembatan rumah pondok indah wiyung mohon untuk tindak lanjut karena lubang makin lebar dan ganggu kendara roda 2 terimakasih
6802,
6803,kepada yth skpd terkaitassalamualaikum mohon bantu dan tindaklanjut segera baik jalan rusak lubang tikung jalan candipuro karena sering jadi celaka guna sepeda motor terjatuhwassalam lpmk pacarkeling
6804,
6805,selamat siang mohon untuk lebih tindak lagi masalah urus e-ktp saya sangat rasa rugi dan terlalu belit apalagi posisi saya sekarang sedang hamil tua saya butuh ktp dan status yang jelas tentang duduk saya karena saya akan urus akta lahir anak saya nanti tapi sejak sekitar bulan oktober 2016 tahun lalu saya mau urus pindah wilayah dari surabaya ke sidoarjo tapi hambat karena status e-ktp saya yang kata duplicat record di retina mata saya saya tanya solusi bagaiman pihak dispenduk sby kata kalau harus daftar hapus duplicat record dan mereka kata itu makan waktu 3 bulan jadi saya suruh untuk datang lagi ke dispenduk sby sekitar awal tahun 2017 tapi waktu saya datang ke dispenduk sby mereka bilang kata sttus duplicat record ini tidak masalah kalau buat urus pindah wilayah tapi mereka tidak beri jawab masalah status duplikat record saya sebut sudah hapus atau tidak mereka hanya suruh saya langsung ke dispenduk sidoarjo tetapi waktu saya sampai di dispenduk sidoarjo pihak sidoarjo tidak mau terima berkas pindah wilayah saya karena sttus data nya masih duplikat pihak sidoarjo minta saya untuk selesai hal sebut di dispenduk sby saya langsung balik lagi ke dispenduk sby dan jawab pihak dispenduk sby sangat tidak masuk akal saya harus tunggu lagi untuk daftar hapus padahal mereka bilang sejak bulan oktober itu akan laku hapus tapi kenapa sekarang malah jawab baru akan daftar hapus lagi arti lama 3 bulan itu berkas saya tidak di apa-apain dan mereka dengan gampang suruh saya ke dispenduk sidoarjo lagi kata sudah bisa di proses tapi nyata tetap sama ketika saya datang ke dispenduk sidoarjo status saya masih tetap duplikat saya sangat kecewa sekali saya bolak balik ke dispenduk sby - dispenduk sidoarjo dan hasil ttp sama terus status saya bagaimana sebentar lagi saya harus lahir sementara ktp saja belum jelas nasib bagaimana dan yang buat saya bingung kenapa tiap saya hubung pihak dispenduk sby jawab selalu saja iya besok akan saya tanya dan itu langsung bulan tanpa ada jawab dan solusi saya selalu suruh cek retina mata dan cek sidik jari berulang2 sampai hasil cek sidik jari tumpuk rumah saya ini lagi hamil masih saja suruh bolak balik ke dispendukmohon untuk segera tindak lanjut karena sudah sangat rugi sayadan mohon untuk di tertib lagi kalau pihak dispenduk bilang akan daftar ya tolong langsung daftar
